Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
Some),Yes,Some),Some),Some),None,Some),No,"Associating a singer with dance classes he attended, although he did not hear the exact song."
The majority,No,,,,,,,
The majority,Yes,The majority,The majority,The majority,The majority,The majority,Yes,"I remember hearing one of those songs with my mother in the living room. He told me it was ""song"" that had her and my father, who danced together."
Half,Yes,The majority,Some),The majority,Some),Some),Yes,Mecano reminds me of the holidays people
Half,No,,,,,,,
Half,Yes,Some),None,Some),Some),None,Yes,Listen to songs on TV or radio with my mother or my aunt.
Half,No,,,,,,,
Half,No,,,,,,,
The majority,Yes,All,All,Some),The majority,All,No,
The majority,Yes,The majority,None,The majority,Some),None,Yes,"I remember going to a concert of union with my parents. I remember the deafening volume of the music and trying to shout above the noise, but without getting to hear me. I remember dancing a lot, it was summer and we were all very happy"
The majority,Yes,Half,Some),The majority,Some),Some),Yes,Belted out
The majority,Yes,The majority,Some),Some),The majority,Some),Yes,"Some songs I remember playing Sing Star with my sisters, especially aprendiendome the Thriller dance with them also small and Adolescent acrosport work of the school"
Some),No,,,,,,,
Half,Yes,The majority,Some),The majority,Half,Half,Yes,"With my mother when I was younger, I used to hear on the radio cassette Mecano, both at home and in the car, and I liked them because they were moved and fun. Thriller was the first song that got me my sister in the first mp3 I had (can not remember the year but the song was downloaded from emule so imagine)"
The majority,Yes,The majority,The majority,The majority,The majority,The majority,Yes,"My answer is repeated, I recognized as 8 and all know by KISS FM. So again the car."
Some),No,,,,,,,
The majority,Yes,Half,Some),Half,Some),Some),Yes,Travel by car
The majority,Yes,Half,Some),Half,Some),The majority,No,
Half,Yes,Some),None,Some),Some),Some),No,
The majority,Yes,None,Some),Some),Some),Half,Yes,"Jump in the car and listen to KissFM one of the songs, they put all the time. Listen from my terrace house ""Wolf Man"" of the union who had gone to play at parties. When Michael Jackson died and I told my brother, who was a fan, and he was in the lounge."
All,Yes,Half,Some),Some),Some),Some),Yes,Some remind me of when I was in the car listening to Kiss FM and other moments listening to music with friends and dance them when have at some gambling den.
The majority,Yes,Some),Some),None,Some),Some),Yes,"The other day working my college instructor asked me niñxs song thriller in the yard, put it. There was a boy who danced with coreo well. The dancing was another very chaotically and also seemed to have fun."
The majority,Yes,None,None,Some),Half,Some),No,
